s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
264.0	403.0	272.0	322.0	400.0	312.0	395.0	1042.0	909.0	177.0	3474.0	399.0	325.0	479.0	421.0	266.0	494.0	1692.0	450.0	806.0	72
222.0	374.0	248.0	316.0	357.0	342.0	352.0	804.0	821.0	144.0	2950.0	342.0	295.0	439.0	393.0	277.0	424.0	1412.0	385.0	661.0	73
248.0	360.0	327.0	317.0	287.0	309.0	307.0	745.0	675.0	129.0	2738.0	308.0	257.0	360.0	396.0	252.0	424.0	1172.0	378.0	580.0	74
259.0	383.0	295.0	341.0	294.0	262.0	289.0	622.0	576.0	130.0	2063.0	294.0	253.0	352.0	386.0	255.0	388.0	988.0	344.0	515.0	75
225.0	370.0	259.0	322.0	315.0	292.0	220.0	552.0	595.0	125.0	1665.0	298.0	250.0	339.0	367.0	220.0	366.0	828.0	383.0	429.0	76
232.0	331.0	264.0	280.0	298.0	252.0	178.0	429.0	454.0	167.0	1506.0	285.0	224.0	279.0	344.0	254.0	352.0	680.0	297.0	405.0	77
214.0	320.0	308.0	262.0	255.0	251.0	205.0	385.0	437.0	99.0	1212.0	314.0	179.0	318.0	295.0	268.0	279.0	602.0	290.0	365.0	78
236.0	273.0	309.0	247.0	278.0	291.0	234.0	392.0	347.0	89.0	920.0	259.0	139.0	306.0	267.0	271.0	311.0	426.0	299.0	332.0	79
237.0	240.0	229.0	246.0	253.0	319.0	235.0	334.0	318.0	93.0	810.0	191.0	170.0	288.0	263.0	284.0	296.0	388.0	308.0	308.0	80
278.0	224.0	271.0	251.0	236.0	293.0	222.0	292.0	296.0	119.0	729.0	232.0	214.0	283.0	221.0	217.0	266.0	336.0	305.0	310.0	81
251.0	227.0	265.0	265.0	225.0	218.0	221.0	316.0	260.0	122.0	645.0	202.0	198.0	270.0	248.0	218.0	234.0	327.0	273.0	295.0	82
226.0	225.0	306.0	259.0	222.0	194.0	200.0	285.0	202.0	130.0	558.0	180.0	185.0	275.0	259.0	212.0	267.0	268.0	242.0	268.0	83
223.0	196.0	243.0	231.0	216.0	185.0	195.0	223.0	177.0	119.0	471.0	188.0	157.0	287.0	236.0	186.0	254.0	238.0	241.0	267.0	84
208.0	156.0	194.0	233.0	152.0	165.0	165.0	203.0	201.0	90.0	444.0	200.0	184.0	208.0	222.0	158.0	219.0	230.0	233.0	250.0	85
191.0	160.0	219.0	196.0	141.0	145.0	134.0	210.0	217.0	97.0	451.0	230.0	192.0	176.0	222.0	217.0	216.0	221.0	266.0	269.0	86
165.0	177.0	169.0	179.0	184.0	105.0	161.0	216.0	208.0	105.0	325.0	209.0	150.0	203.0	278.0	180.0	214.0	231.0	213.0	276.0	87
173.0	162.0	181.0	197.0	165.0	110.0	175.0	224.0	222.0	91.0	330.0	181.0	123.0	178.0	261.0	131.0	254.0	201.0	227.0	248.0	88
129.0	163.0	150.0	203.0	134.0	105.0	163.0	190.0	207.0	79.0	341.0	236.0	127.0	133.0	246.0	137.0	240.0	249.0	191.0	219.0	89
116.0	183.0	152.0	201.0	136.0	103.0	141.0	214.0	195.0	74.0	271.0	202.0	110.0	156.0	180.0	107.0	253.0	212.0	167.0	227.0	90
157.0	200.0	164.0	204.0	122.0	84.0	160.0	196.0	234.0	91.0	289.0	216.0	128.0	117.0	203.0	90.0	281.0	198.0	190.0	230.0	91
135.0	182.0	171.0	179.0	139.0	91.0	173.0	192.0	203.0	89.0	267.0	176.0	106.0	116.0	192.0	77.0	296.0	210.0	154.0	260.0	92
148.0	156.0	156.0	169.0	133.0	94.0	179.0	162.0	190.0	110.0	294.0	157.0	116.0	84.0	165.0	80.0	242.0	202.0	159.0	279.0	93
126.0	160.0	192.0	143.0	147.0	83.0	195.0	156.0	203.0	74.0	289.0	179.0	106.0	97.0	150.0	61.0	189.0	189.0	155.0	208.0	94
93.0	159.0	142.0	113.0	161.0	69.0	162.0	170.0	207.0	61.0	277.0	168.0	109.0	82.0	129.0	85.0	170.0	197.0	153.0	246.0	95
114.0	135.0	142.0	101.0	175.0	71.0	156.0	205.0	177.0	48.0	238.0	130.0	80.0	97.0	133.0	92.0	162.0	166.0	166.0	200.0	96
110.0	136.0	146.0	95.0	166.0	45.0	151.0	173.0	179.0	50.0	244.0	147.0	66.0	131.0	114.0	78.0	153.0	153.0	167.0	218.0	97
123.0	135.0	141.0	91.0	163.0	67.0	127.0	159.0	150.0	46.0	211.0	140.0	85.0	117.0	117.0	88.0	176.0	154.0	168.0	197.0	98
82.0	149.0	179.0	112.0	169.0	58.0	178.0	154.0	153.0	27.0	228.0	137.0	77.0	80.0	109.0	93.0	178.0	137.0	142.0	150.0	99
76.0	102.0	154.0	107.0	158.0	86.0	171.0	145.0	188.0	27.0	216.0	90.0	114.0	89.0	112.0	72.0	157.0	144.0	116.0	167.0	100
119.0	103.0	207.0	114.0	149.0	77.0	138.0	125.0	203.0	29.0	210.0	79.0	82.0	106.0	100.0	77.0	124.0	155.0	152.0	142.0	101
83.0	83.0	151.0	116.0	160.0	72.0	139.0	137.0	128.0	39.0	194.0	92.0	68.0	113.0	84.0	55.0	124.0	141.0	118.0	125.0	102
